Model,Accuracy,Precision,Recall,F1-Score
mix,0.84,0.7833333333333333,0.94,0.8545454545454545
vib,0.75,0.7777777777777778,0.7,0.7368421052631579
amp,0.87,0.8936170212765957,0.84,0.865979381443299
mix,0.84,0.9473684210526315,0.72,0.8181818181818182
vib,0.79,0.9393939393939394,0.62,0.7469879518072289
amp,0.62,1.0,0.24,0.3870967741935484
mix,0.88,0.88,0.88,0.88
vib,0.8,0.8571428571428571,0.72,0.782608695652174
amp,0.77,0.9354838709677419,0.58,0.7160493827160493
mix,0.75,0.7777777777777778,0.7,0.7368421052631579
vib,0.69,0.7567567567567568,0.56,0.6436781609195402
amp,0.66,0.9444444444444444,0.34,0.5
mix,0.8,0.8260869565217391,0.76,0.7916666666666666
vib,0.71,0.8,0.56,0.6588235294117647
amp,0.78,0.9666666666666667,0.58,0.725
mix,0.9,0.9347826086956522,0.86,0.8958333333333334
vib,0.64,0.85,0.34,0.4857142857142857
amp,0.88,1.0,0.76,0.8636363636363636
mix,0.81,0.8974358974358975,0.7,0.7865168539325843
vib,0.66,0.8636363636363636,0.38,0.5277777777777778
amp,0.79,0.967741935483871,0.6,0.7407407407407407
mix,0.89,0.8679245283018868,0.92,0.8932038834951457
vib,0.67,0.9047619047619048,0.38,0.5352112676056338
amp,0.87,0.8936170212765957,0.84,0.865979381443299
mix,0.93,0.9777777777777777,0.88,0.9263157894736842
vib,0.6,1.0,0.2,0.3333333333333333
amp,0.91,0.9767441860465116,0.84,0.9032258064516129
mix,0.88,0.9523809523809523,0.8,0.8695652173913043
vib,0.63,0.9333333333333333,0.28,0.4307692307692308
amp,0.85,0.972972972972973,0.72,0.8275862068965517
